"Site_ID" "Latitude" "Longitude" "Elevation" "Land_use" "Location_monitor_type" "State" "Obs_value"
"39 - 103 - 4" "41.0604" "-81.9239" "322" "AGRICULTURAL" "RURAL" "Ohio" "6.2"
"39 - 113 - 38" "39.755969" "-84.198674" "220" "COMMERCIAL" "URBAN AND CENTER CITY" "Ohio" "10"
"39 - 133 - 2" "41.1644" "-81.2352" "344" "INDUSTRIAL" "URBAN AND CENTER CITY" "Ohio" "5.4"
"39 - 135 - 1001" "39.83562" "-84.72049" "357" "AGRICULTURAL" "RURAL" "Ohio" "7.4"
"39 - 145 - 13" "38.75465" "-82.917" "174" "INDUSTRIAL" "SUBURBAN" "Ohio" "8.3"
"39 - 151 - 17" "40.786878" "-81.394186" "319" "INDUSTRIAL" "URBAN AND CENTER CITY" "Ohio" "9.4"
"39 - 151 - 20" "40.800729" "-81.373008" "311" "COMMERCIAL" "URBAN AND CENTER CITY" "Ohio" "8.7"
"39 - 153 - 17" "41.063526" "-81.468956" "310" "INDUSTRIAL" "SUBURBAN" "Ohio" "7.6"
"39 - 153 - 23" "41.087956" "-81.541611" "326" "RESIDENTIAL" "URBAN AND CENTER CITY" "Ohio" "5.3"
"55 - 9 - 5" "44.50729" "-87.99344" "184" "RESIDENTIAL" "URBAN AND CENTER CITY" "Wisconsin" "8"
"55 - 25 - 41" "43.100838" "-89.357298" "260" "COMMERCIAL" "URBAN AND CENTER CITY" "Wisconsin" "8.7"
"55 - 25 - 47" "43.0733" "-89.4358" "256" "RESIDENTIAL" "URBAN AND CENTER CITY" "Wisconsin" "7.9"
"55 - 27 - 1" "43.466111" "-88.621111" "286.5" "AGRICULTURAL" "RURAL" "Wisconsin" "7.8"
"55 - 35 - 14" "44.761" "-91.143" "382" "INDUSTRIAL" "SUBURBAN" "Wisconsin" "9.6"
"55 - 43 - 9" "42.693" "-90.698" "303" "AGRICULTURAL" "RURAL" "Wisconsin" "11.8"
"55 - 59 - 19" "42.504722" "-87.8093" "187" "RESIDENTIAL" "RURAL" "Wisconsin" "9.4"
"55 - 63 - 12" "43.7775" "-91.2269" "667" "RESIDENTIAL" "SUBURBAN" "Wisconsin" "9.2"
"55 - 79 - 10" "43.016667" "-87.933333" "200" "COMMERCIAL" "URBAN AND CENTER CITY" "Wisconsin" "9.6"
"55 - 79 - 26" "43.060975" "-87.913504" "208" "COMMERCIAL" "URBAN AND CENTER CITY" "Wisconsin" "9.5"
"55 - 79 - 99" "43.039871" "-87.920794" "148" "COMMERCIAL" "URBAN AND CENTER CITY" "Wisconsin" "9.5"
"55 - 87 - 9" "44.30738" "-88.395178" "240" "RESIDENTIAL" "SUBURBAN" "Wisconsin" "7.8"
"55 - 89 - 9" "43.49806" "-87.81" "211" "AGRICULTURAL" "RURAL" "Wisconsin" "9.4"
"55 - 119 - 8001" "45.2066" "-90.5972" "522" "AGRICULTURAL" "RURAL" "Wisconsin" "8"
"55 - 133 - 27" "43.020075" "-88.21507" "261" "RESIDENTIAL" "URBAN AND CENTER CITY" "Wisconsin" "9"
